"drug","disease","reward","rank","literature_support","is_known_positive","policy_prob","gnn_score","safety_score","market_score","confidence","pathway_score","patent_score","rare_disease_flag","unmet_need_score","efficacy_score","adme_score","pipeline_version","schema_version","training_timestamp","model_checkpoint","reward_weights_json","input_sha256","seed","timesteps","controlled_substance"
"ibuprofen","pain","0.0982410690725826","1","0","1","0.9998273253440857","0.642974","0.55","0.25","0.0913030068554667","1.0","0.95","0.0","0.4003668476130368","0.8628209829330444","0.9","4.2.0","4.2.0","2026-07-20T08:13:54.709348+00:00","C:\Users\ADMIN\Downloads\drug os pro\autonomous-drug-repurposing-main\autonomous-drug-repurposing-main\output_v100\checkpoints\ppo_model_5000_steps.zip","{""gnn_score"": 0.04, ""safety_score"": 0.25, ""market_score"": 0.12, ""confidence"": 0.1, ""pathway_score"": 0.15, ""patent_score"": 0.08, ""rare_disease_flag"": 0.08, ""unmet_need_score"": 0.1, ""efficacy_score"": 0.05, ""adme_score"": 0.03}","4df2c25b787fe2c843219d34b69f5fc4cdb80aab4be6c1092287f6908e3d0323","42","5000","0"
"warfarin","cancer","-1.0","2","0","0","0.999765932559967","0.637026","0.35","0.5","0.083927874838517","1.0","0.95","0.0","0.5950000000000001","0.8472530841827393","0.55","4.2.0","4.2.0","2026-07-20T08:13:54.709348+00:00","C:\Users\ADMIN\Downloads\drug os pro\autonomous-drug-repurposing-main\autonomous-drug-repurposing-main\output_v100\checkpoints\ppo_model_5000_steps.zip","{""gnn_score"": 0.04, ""safety_score"": 0.25, ""market_score"": 0.12, ""confidence"": 0.1, ""pathway_score"": 0.15, ""patent_score"": 0.08, ""rare_disease_flag"": 0.08, ""unmet_need_score"": 0.1, ""efficacy_score"": 0.05, ""adme_score"": 0.03}","4df2c25b787fe2c843219d34b69f5fc4cdb80aab4be6c1092287f6908e3d0323","42","5000","0"
"captopril","cancer","0.061632914055206545","3","0","0","0.9996658563613892","0.595188","0.5","0.5","0.0406806015046025","1.0","0.5","0.0","0.5950000000000001","0.7933278679847717","0.5","4.2.0","4.2.0","2026-07-20T08:13:54.709348+00:00","C:\Users\ADMIN\Downloads\drug os pro\autonomous-drug-repurposing-main\autonomous-drug-repurposing-main\output_v100\checkpoints\ppo_model_5000_steps.zip","{""gnn_score"": 0.04, ""safety_score"": 0.25, ""market_score"": 0.12, ""confidence"": 0.1, ""pathway_score"": 0.15, ""patent_score"": 0.08, ""rare_disease_flag"": 0.08, ""unmet_need_score"": 0.1, ""efficacy_score"": 0.05, ""adme_score"": 0.03}","4df2c25b787fe2c843219d34b69f5fc4cdb80aab4be6c1092287f6908e3d0323","42","5000","0"
"lisinopril","hypertension","0.4478216396585665","4","0","1","0.9803329110145569","0.48675206","0.82","0.25","0.0007912034374589","1.0","0.95","0.0","0.4003668476130368","0.7503407597541809","0.82","4.2.0","4.2.0","2026-07-20T08:13:54.709348+00:00","C:\Users\ADMIN\Downloads\drug os pro\autonomous-drug-repurposing-main\autonomous-drug-repurposing-main\output_v100\checkpoints\ppo_model_5000_steps.zip","{""gnn_score"": 0.04, ""safety_score"": 0.25, ""market_score"": 0.12, ""confidence"": 0.1, ""pathway_score"": 0.15, ""patent_score"": 0.08, ""rare_disease_flag"": 0.08, ""unmet_need_score"": 0.1, ""efficacy_score"": 0.05, ""adme_score"": 0.03}","4df2c25b787fe2c843219d34b69f5fc4cdb80aab4be6c1092287f6908e3d0323","42","5000","0"
"memantine","Huntington's Disease","0.85","1","1","0","0.999","0.8","0.7","0.5","0.1","1.0","0.95","1.0","0.8","0.9","0.8","4.2.0","4.2.0","2026-07-20T08:13:54+00:00","C:\...","{}","123","42","5000","0"
